epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.45973,2.62234,4.13631,1.71136,0,0,0,0,1.60337,4.15877,1.61532,0,0,0
2,4.04138,2.61818,4.15227,1.60877,0,0,0,0,1.58394,4.15836,1.60753,1.41485e-05,1.41485e-05,1.41485e-05
3,5.56281,2.41687,4.14409,1.78957,0,0,0,0,1.59601,4.15822,1.61399,2.80141e-05,2.80141e-05,2.80141e-05
4,7.31811,2.68484,4.10318,1.94437,0,0,0,0,1.58249,4.15666,1.597,4.15968e-05,4.15968e-05,4.15968e-05
5,9.17072,3.61597,4.12984,2.07499,0,0,0,0,1.59147,4.15625,1.60235,5.48965e-05,5.48965e-05,5.48965e-05
6,10.7001,2.48733,4.05789,1.48571,0,0,0,0,1.63292,4.15074,1.59192,6.79132e-05,6.79132e-05,6.79132e-05
7,12.6829,2.4354,4.06618,1.55774,0,0,0,0,1.72653,4.14131,1.5663,8.0647e-05,8.0647e-05,8.0647e-05
8,14.3522,2.54452,4.01846,1.4625,0,0,0,0,1.76662,4.10128,1.50623,9.30979e-05,9.30979e-05,9.30979e-05
9,15.7518,2.03399,3.9646,1.46397,0,0,0,0,1.87678,4.00406,1.47837,0.000105266,0.000105266,0.000105266
10,18.0043,2.44815,3.9808,1.39287,0,0,0,0,1.9022,3.9286,1.44524,0.000117151,0.000117151,0.000117151
11,19.5062,2.09539,3.83311,1.3683,0,0,0,0,1.98795,3.8561,1.42215,0.000128753,0.000128753,0.000128753
12,21.1827,2.00434,3.86381,1.41648,0,0,0,0,2.09521,3.77868,1.41928,0.000140072,0.000140072,0.000140072
13,23.584,2.01354,3.82469,1.35076,0,0,0,0,2.12307,3.73713,1.39496,0.000151108,0.000151108,0.000151108
14,25.1008,2.19159,3.72714,1.52455,0,0,0,0,2.07741,3.68234,1.35206,0.000161861,0.000161861,0.000161861
15,26.5532,1.88282,3.71773,1.18733,0,0,0,0,2.16763,3.67384,1.3668,0.000172332,0.000172332,0.000172332
16,28.6538,1.70615,3.67954,1.26518,0,0,0,0,2.1761,3.66968,1.37385,0.000182519,0.000182519,0.000182519
17,30.1259,1.71444,3.66685,1.18278,0,0,0,0,2.21365,3.68747,1.39219,0.000192423,0.000192423,0.000192423
